source_dataset,subject_id_candidate,audited_subject_id,identity,identity_audit_status,known_downstream_overlap,excluded,exclusion_reason,audit_method,audit_evidence,audit_notes,audit_scope
ACCAD,ACCAD::Female1General_c3d,Female1,ACCAD::Female1,approved,false,false,,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Official ACCAD metadata groups General, Gestures, Running, and Walking under Female 1. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::Female1Gestures_c3d,Female1,ACCAD::Female1,approved,false,false,,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Official ACCAD metadata groups General, Gestures, Running, and Walking under Female 1. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::Female1Running_c3d,Female1,ACCAD::Female1,approved,false,false,,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Official ACCAD metadata groups General, Gestures, Running, and Walking under Female 1. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::Female1Walking_c3d,Female1,ACCAD::Female1,approved,false,false,,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Official ACCAD metadata groups General, Gestures, Running, and Walking under Female 1. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::Male1General_c3d,Male1,ACCAD::Male1,approved,false,false,,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Official ACCAD metadata groups General, Running, and Walking under Male 1. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::Male1Running_c3d,Male1,ACCAD::Male1,approved,false,false,,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Official ACCAD metadata groups General, Running, and Walking under Male 1. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::Male1Walking_c3d,Male1,ACCAD::Male1,approved,false,false,,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Official ACCAD metadata groups General, Running, and Walking under Male 1. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::Male2General_c3d,Male2,ACCAD::Male2,approved,false,false,,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Official ACCAD metadata groups General, martial arts, Running, Walking, and Walks/Turns under Male 2. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::Male2MartialArtsExtended_c3d,Male2,ACCAD::Male2,approved,false,false,,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Official ACCAD metadata groups General, martial arts, Running, Walking, and Walks/Turns under Male 2. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::Male2MartialArtsKicks_c3d,Male2,ACCAD::Male2,approved,false,false,,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Official ACCAD metadata groups General, martial arts, Running, Walking, and Walks/Turns under Male 2. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::Male2MartialArtsPunches_c3d,Male2,ACCAD::Male2,approved,false,false,,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Official ACCAD metadata groups General, martial arts, Running, Walking, and Walks/Turns under Male 2. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
ACCAD,ACCAD::Male2MartialArtsStances_c3d,Male2,ACCAD::Male2,approved,false,false,,official-source alias reconciliation,https://accad.ohio-state.edu/research/motion-lab/mocap-system-and-data,"Official ACCAD metadata groups General, martial arts, Running, Walking, and Walks/Turns under Male 2. No source-level overlap with the downstream datasets named in the local methodology was found. known_downstream_overlap=false means no known match, not independently proven person-level disjointness.",time-bounded-source-identity-v1
