"Priority 
(H/M/L/NA )",Feature:,Neurological Reason:,What is considered significant?,Source:
M,hip_asymmetry,"Parkinson's often begins affecting one side first, leading to postural asymetry. 

In this specific study, 16/20 participants (80%) had asymmetry on hip balance control.","The study does not define a single, universal numerical threshold (such as a specific percentage or degree of torque) for the 99% confidence interval.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
M,ankle_asymmetry,"In this study, 15/20 participants (75%) had asymetry on ankle balance control.","The study does not define a single, universal numerical threshold (such as a specific percentage or degree of torque) for the 99% confidence interval.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4102504/
L,knee_asymmetry,"In this study, knee asymetry was present for 23% of the gait cycle in off medication PD participants (23 PD participants total). So this evidence is not as overwhelming, but it might be useful to include.","This study also does not define a single numeric threshold, and asymetry was instead decided on a test by test basis.",https://pubmed.ncbi.nlm.nih.gov/40816135/
M,left_hip_range,"With PD, there will typically be a reduced range of motion in the hip.","This study includes no specific metrics, so I would assume anything below 20 degree range, which is what you have defined as normal.",https://pmc.ncbi.nlm.nih.gov/articles/PMC8699192/
M,right_hip_range,"With PD, there will typically be a reduced range of motion in the hip.","This study includes no specific metrics, so I would assume anything below 20 degree range, which is what you have defined as normal.",https://pmc.ncbi.nlm.nih.gov/articles/PMC8699192/
M,left_knee_range,"With PD, the angle range for knee movement typically decreases","This study includes no specific metrics, so I would assume anything below 30 degree range, which is what you have defined as normal.",https://pmc.ncbi.nlm.nih.gov/articles/PMC8699192/
M,right_knee_range,"With PD, the angle range for knee movement typically decreases","This study includes no specific metrics, so I would assume anything below 30 degree range, which is what you have defined as normal.",https://pmc.ncbi.nlm.nih.gov/articles/PMC8699192/
M,left_ankle_range,"With PD, the angle range for ankle movement typically decreases","This study includes no specific metrics, so I would assume anything below 15 degree range, which is what you have defined as normal.",https://pmc.ncbi.nlm.nih.gov/articles/PMC8699192/
M,right_ankle_range,"With PD, the angle range for ankle movement typically decreases","This study includes no specific metrics, so I would assume anything below 15 degree range, which is what you have defined as normal.",https://pmc.ncbi.nlm.nih.gov/articles/PMC8699192/
H,stride_length_m,"A key symptom of PD is the shuffling gait, which would cause a greatly reduced stride length","This teaching module includes no spefic metrics, so I assume anything below 0.9 m to be suspicious, for a decison tree, perhaps a slightly lower value such as 0.7.",https://umedic.rossu.edu/Essential_Neurologic_Findings/gait_parkinsonian.htm
